Date,Open,High,Low,Close,Adj Close,Volume
1/31/2019,null,null,null,null,null,null
2/1/2019,197,197,null,185.649994,185.649994,6748777
2/4/2019,185.600006,185.600006,null,179.899994,179.899994,5012988
2/5/2019,179.899994,183.5,null,175.800003,175.800003,4953755
2/6/2019,178,179.899994,null,176.300003,176.300003,4860263
2/7/2019,177.300003,181.850006,null,176.75,176.75,4214221
2/8/2019,177,178.5,173.300003,174.800003,174.800003,3017527
2/11/2019,175.75,176.5,170.100006,172.75,172.75,3399864
2/12/2019,173.699997,176.100006,171.75,172.350006,172.350006,2347559
2/14/2019,185.949997,223.699997,185.949997,221,221,19498115
